# Constructed from biom file
#OTU ID	Baao_Agri_EUK	Baao_Center_EUK	Baao_Tribu_EUK	Bato_Center_EUK	Bato_Resid_EUK	Bato_Tilap_EUK	Bato_Tribu_EUK	Buhi_Center_EUK	Buhi_Resid_EUK	Buhi_Tilap_EUK	Buhi_Tribu_EUK
Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Saccharomycotina	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Pyrenomonadales	0.0	13.0	7.0	13.0	15.0	14.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida	193.0	21.0	469.0	0.0	206.0	134.0	0.0	3.0	34.0	0.0	6.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Phaeothamniophyceae;	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycota_X	0.0	0.0	0.0	145.0	53.0	198.0	482.0	6.0	0.0	0.0	14.0
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Euplotia	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Cercozoa_X;Cercozoa_XX	0.0	0.0	0.0	7.0	0.0	4.0	0.0	19.0	21.0	9.0	16.0
Eukaryota;TSAR;Alveolata;Colponemidia;Colponemidia_X;Colponemida	8.0	9.0	4.0	9.0	40.0	33.0	97.0	0.0	0.0	3.0	0.0
Eukaryota;TSAR;Alveolata;Ciliophora;Nassophorea;Nassophorea_X	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	7.0
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Klebsormidiophyceae;Klebsormidiophyceae_X	0.0	0.0	0.0	264.0	0.0	176.0	152.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Opisthosporidia;Microsporida	0.0	3.0	0.0	30.0	0.0	9.0	0.0	6.0	13.0	28.0	12.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Euglyphida	19.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Nephroselmidophyceae;Nephroselmidales	0.0	0.0	0.0	1389.0	2081.0	427.0	782.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Haptoria_4	73.0	443.0	94.0	27.0	1356.0	305.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Hexapoda	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
